id,product_name,image,link,parsed,caption,tier,component_name,rigid_or_soft,is_reusable,dim_l_mm,dim_w_mm,dim_h_mm,shape,volume_cm3,materials,n_materials,component_mass_g,component_carbon_kg,component_water_l
1,Charlotte Tilbury,demo-reccommandation/1.webp,https://www.mecca.com/en-au/charlotte-tilbury/kissing-V-051603/?cgpath=makeup-lips-lipstick,True,"Here's a factual caption describing the image:

The product is presented in a cylindrical tube with a rounded base, colored a warm copper. It features a twist-up mechanism for opening and a pointed applicator tip, approximately 3.5 inches in length.",PP,Lipstick Tube (Aluminium),Rigid,,125.0,20.0,20.0,cylindrical,50.0,Aluminium:28.0g,1,28.0,0.5953,66.55
1,Charlotte Tilbury,demo-reccommandation/1.webp,https://www.mecca.com/en-au/charlotte-tilbury/kissing-V-051603/?cgpath=makeup-lips-lipstick,True,"Here's a factual caption describing the image:

The product is presented in a cylindrical tube with a rounded base, colored a warm copper. It features a twist-up mechanism for opening and a pointed applicator tip, approximately 3.5 inches in length.",PP,Twist Base (Polypropylene),Rigid,True,45.0,30.0,30.0,cylindrical,40.5,Polypropylene:8.0g,1,8.0,0.0183,3.19
1,Charlotte Tilbury,demo-reccommandation/1.webp,https://www.mecca.com/en-au/charlotte-tilbury/kissing-V-051603/?cgpath=makeup-lips-lipstick,True,"Here's a factual caption describing the image:

The product is presented in a cylindrical tube with a rounded base, colored a warm copper. It features a twist-up mechanism for opening and a pointed applicator tip, approximately 3.5 inches in length.",PP,Cap (Aluminium with Silicone Seal),Rigid,True,25.0,25.0,15.0,box,9.38,Aluminium:18.0g; Rubber - Silicone:2.0g,2,20.0,0.3902,51.83
1,Charlotte Tilbury,demo-reccommandation/1.webp,https://www.mecca.com/en-au/charlotte-tilbury/kissing-V-051603/?cgpath=makeup-lips-lipstick,True,"Here's a factual caption describing the image:

The product is presented in a cylindrical tube with a rounded base, colored a warm copper. It features a twist-up mechanism for opening and a pointed applicator tip, approximately 3.5 inches in length.",PP,Inner Seal Liner (Paper),Soft,,12.0,6.0,1.0,flat,0.07,Paper - Tissue:0.5g,1,0.5,0.0017,0.64
1,Charlotte Tilbury,demo-reccommandation/1.webp,https://www.mecca.com/en-au/charlotte-tilbury/kissing-V-051603/?cgpath=makeup-lips-lipstick,True,"Here's a factual caption describing the image:

The product is presented in a cylindrical tube with a rounded base, colored a warm copper. It features a twist-up mechanism for opening and a pointed applicator tip, approximately 3.5 inches in length.",SP,Outer Carton Box,Rigid,,150.0,85.0,35.0,box,446.25,Folding Box Board:28.0g,1,28.0,0.0689,14.01
1,Charlotte Tilbury,demo-reccommandation/1.webp,https://www.mecca.com/en-au/charlotte-tilbury/kissing-V-051603/?cgpath=makeup-lips-lipstick,True,"Here's a factual caption describing the image:

The product is presented in a cylindrical tube with a rounded base, colored a warm copper. It features a twist-up mechanism for opening and a pointed applicator tip, approximately 3.5 inches in length.",SP,Product Information Leaflet,Soft,,120.0,85.0,2.0,flat,20.4,Paper - Bleached Kraft:3.0g,1,3.0,0.0052,2.76
1,Charlotte Tilbury,demo-reccommandation/1.webp,https://www.mecca.com/en-au/charlotte-tilbury/kissing-V-051603/?cgpath=makeup-lips-lipstick,True,"Here's a factual caption describing the image:

The product is presented in a cylindrical tube with a rounded base, colored a warm copper. It features a twist-up mechanism for opening and a pointed applicator tip, approximately 3.5 inches in length.",TP,Master Shipping Carton (24 units),Rigid,,420.0,300.0,180.0,box,22680.0,Corrugated:480.0g,1,480.0,0.8016,128.57
1,Charlotte Tilbury,demo-reccommandation/1.webp,https://www.mecca.com/en-au/charlotte-tilbury/kissing-V-051603/?cgpath=makeup-lips-lipstick,True,"Here's a factual caption describing the image:

The product is presented in a cylindrical tube with a rounded base, colored a warm copper. It features a twist-up mechanism for opening and a pointed applicator tip, approximately 3.5 inches in length.",TP,Stretch Wrap (LDPE),Soft,,600.0,200.0,0.1,flat,12.0,Low-Density Polyethylene:85.0g,1,85.0,0.193,52.26
1,Charlotte Tilbury,demo-reccommandation/1.webp,https://www.mecca.com/en-au/charlotte-tilbury/kissing-V-051603/?cgpath=makeup-lips-lipstick,True,"Here's a factual caption describing the image:

The product is presented in a cylindrical tube with a rounded base, colored a warm copper. It features a twist-up mechanism for opening and a pointed applicator tip, approximately 3.5 inches in length.",TP,Wooden Pallet (Softwood),Rigid,True,1200.0,800.0,150.0,flat,144000.0,Softwood:1850.0g,1,1850.0,799.1445,76.78
2,Yves Saint Laurent,demo-reccommandation/2.webp,https://www.mecca.com/en-au/yves-saint-laurent/ysl-lovenude-lip-blusher-V-083724/?cgpath=makeup-lips-lipstick,True,"Here's a factual caption describing only what's visible in the photo:

The image shows two cylindrical containers, each with a rounded base and a slightly tapered top.  A sliding closure mechanism, featuring a silver accent, secures the lipstick stick, which is approximately 10 centimeters in length.",PP,Lipstick Barrel (Tube Body),Rigid,,100.0,12.0,12.0,cylindrical,14.4,Polypropylene:8.2g,1,8.2,0.0188,3.27
