id,product_name,image,link,parsed,n_components,total_mass_g,total_carbon_kg,total_water_l,recyclability_pct,recycled_content_pct,materials_covered,bom_raw_snippet
1,Charlotte Tilbury,demo-reccommandation/1.webp,https://www.mecca.com/en-au/charlotte-tilbury/kissing-V-051603/?cgpath=makeup-lips-lipstick,True,9,2502.5,801.2186,396.6,48.1,,10/10,
2,Yves Saint Laurent,demo-reccommandation/2.webp,https://www.mecca.com/en-au/yves-saint-laurent/ysl-lovenude-lip-blusher-V-083724/?cgpath=makeup-lips-lipstick,True,10,19156.0,7347.0337,1000.05,47.0,1.5,10/10,
3,NARS,demo-reccommandation/3.webp,https://www.mecca.com/en-au/nars/explicit-lipstick-V-069953/?cgpath=makeup-lips-lipstick,True,11,253.3,0.4628,83.28,51.5,52.6,11/11,
4,Charlotte Tilbury,demo-reccommandation/4.webp,https://www.mecca.com/en-au/charlotte-tilbury/blush-balm-lip-tint-V-082540/?cgpath=makeup-lips-lipstick,True,10,2394.4,800.2553,258.15,47.1,45.0,11/11,
5,ILIA Beauty,demo-reccommandation/5.webp,https://www.mecca.com/en-au/ilia-beauty/lip-sketch-hydrating-crayon-V-069524/?cgpath=makeup-lips-lipstick,True,9,22634.6,9510.0475,1149.68,46.9,,9/9,
6,Charlotte Tilbury,demo-reccommandation/6.webp,https://www.mecca.com/en-au/charlotte-tilbury/hot-lips-lipstick-V-051589/?cgpath=makeup-lips-lipstick,True,11,22874.8,9505.0765,1202.58,47.0,51.7,14/14,
7,Tom Ford,demo-reccommandation/7.webp,https://www.mecca.com/en-au/tom-ford/slim-lip-color-shine-V-065069/?cgpath=makeup-lips-lipstick,True,11,2576.3,800.7568,343.56,46.0,47.7,14/14,
8,Clinique,demo-reccommandation/8.webp,https://www.mecca.com/en-au/clinique/almost-lipstick-V-076910/?cgpath=makeup-lips-lipstick,True,10,22637.5,8736.8121,1104.03,47.0,46.6,14/14,
9,MAC Cosmetics,demo-reccommandation/9.webp,https://www.mecca.com/en-au/mac-cosmetics/macximal-silky-matte-lipstick-V-065358/?cgpath=makeup-lips-lipstick,True,13,22917.5,9505.0219,1241.85,47.0,60.6,13/13,
10,MECCA MAX,demo-reccommandation/10.webp,https://www.mecca.com/en-au/mecca-max/pout-pop-sheer-lipstick-V-047808/?cgpath=makeup-lips-lipstick,True,10,2435.6,735.9388,295.5,46.4,31.0,11/11,
11,MECCA MAX,demo-reccommandation/11.webp,https://www.mecca.com/en-au/mecca-max/lip-lock-balmy-stain-V-067452/?cgpath=makeup-lips-lipstick,True,10,2567.2,801.1002,325.16,46.2,18.8,15/15,
12,Morphe,demo-reccommandation/12.webp,https://www.mecca.com/en-au/morphe/lip-filter-hydroplump-soft-matte-lipstick-V-079254/?cgpath=makeup-lips-lipstick,True,10,3423.6,958.7829,1171.13,51.1,,13/13,
13,VIOLETTE_FR,demo-reccommandation/13.webp,https://www.mecca.com/en-au/violette-fr/bisou-balm-V-061326/?cgpath=makeup-lips-lipstick,True,11,22593.4,8736.9018,1091.24,47.1,6.5,12/12,
14,MAC Cosmetics,demo-reccommandation/14.webp,https://www.mecca.com/en-au/mac-cosmetics/macximal-sleek-satin-lipstick-V-070687/?cgpath=makeup-lips-lipstick,True,10,831.8,1.6618,296.45,45.0,42.6,14/14,
15,Stila,demo-reccommandation/15.webp,https://www.mecca.com/en-au/stila/calligraphy-lip-stain-V-060687/?cgpath=makeup-lips-lipstick,True,10,22537.9,9504.3333,1107.71,46.9,62.9,10/10,
16,Yves Saint Laurent,demo-reccommandation/16.webp,https://www.mecca.com/en-au/yves-saint-laurent/ysl-loveshine-lipstick-V-068466/?cgpath=makeup-lips-lipstick,True,10,807.9,1.7561,289.92,45.6,65.6,14/14,
